"jahr,quelle,geraetekategorie,neugeraeteabsatz_stk,geraetebestand_stk,verbrauch_neugeraete_kwh,verbrauch_geraetebestand_kwh"
"2012,""SWICO"",""Beamer"",66000,252332,3154600,11684377"
"2012,""SWICO"",""Drucker"",790000,5256972,17358740,123721024"
"2012,""SWICO"",""Fernsehgeräte"",838500,5245080,86677818,739253885"
"2012,""SWICO"",""Laptops"",1095000,6602179,22575647,188386717"
"2012,""SWICO"",""Monitore"",674000,4174805,36151389,204612911"
"2012,""SWICO"",""Personal Computer"",672000,4187722,53940481,389180598"
"2012,""SWICO"",""Server (Small Scale)"",55000,236657,37242948,183649197"
"2012,""SWICO"",""Settop-Boxen"",400487,2110700,32333548,167771129"
"2012,""SWICO"",""Slate Computer (Tablets)"",834000,1389594,8363369,14536130"
"2012,""SWICO"",""USV"",95445,356734,29512306,118359323"
"2012,""SWICO"",""Video/DVD/Blu-Ray"",395500,2807607,7014023,62185280"
"2013,""FEA"",""Elektroherde und Einbaubacköfen"",343505,3339279,100153798,1374639705"
"2013,""FEA"",""Geschirrspüler"",217343,2397720,45745501,546640631"
"2013,""FEA"",""Kühlschränke"",303360,4487008,52982775,1160745710"
"2013,""FEA"",""Tiefkühlschränke"",89498,1875092,15971270,524032964"
"2013,""FEA"",""Wäschetrockner"",117912,1700053,32722880,967255004"
"2013,""FEA"",""Waschmaschinen"",196108,2155672,38302593,752556440"
"2013,""FEA"",""Waschtrockner"",10607,81082,4713858,52169663"
"2013,""SWICO"",""Beamer"",64000,269186,3059006,12726083"
"2013,""SWICO"",""Drucker"",764000,5264876,15220610,113457778"
"2013,""SWICO"",""Fernsehgeräte"",763000,5319455,66599427,698433821"
"2013,""SWICO"",""Laptops"",973000,6741073,22363673,173756898"
"2013,""SWICO"",""Monitore"",559000,3927080,27347256,201001592"
"2013,""SWICO"",""Personal Computer"",633000,4122401,53061297,365292456"
"2013,""SWICO"",""Server (Small Scale)"",55000,228838,29892431,159054928"
"2013,""SWICO"",""Settop-Boxen"",660259,2579700,45792822,199531486"
"2013,""SWICO"",""Slate Computer (Tablets)"",1097000,2466569,9445938,23736067"
"2013,""SWICO"",""USV"",95000,369269,28791880,120156094"
"2013,""SWICO"",""Video/DVD/Blu-Ray"",324000,2590759,4668715,51095738"
"2014,""FEA"",""Elektroherde und Einbaubacköfen"",349985,3391829,101753753,1386976778"
"2014,""FEA"",""Geschirrspüler"",222740,2470874,45172750,553782081"
"2014,""FEA"",""Kühlschränke"",305986,4555408,52721083,1144830202"
"2014,""FEA"",""Tiefkühlschränke"",83155,1912061,14074105,523925279"
"2014,""FEA"",""Wäschetrockner"",124948,1770675,25438110,958630510"
"2014,""FEA"",""Waschmaschinen"",194774,2202479,37161654,740304289"
"2014,""FEA"",""Waschtrockner"",13083,84818,5347737,52089487"
"2014,""SWICO"",""Beamer"",48000,269743,2294254,12934709"
"2014,""SWICO"",""Drucker"",698000,5186624,13221021,104841314"
"2014,""SWICO"",""Fernsehgeräte"",834500,5543547,68767929,640463946"
"2014,""SWICO"",""Laptops"",1018000,6834532,22969255,164062507"
"2014,""SWICO"",""Monitore"",514000,3633458,25185402,200572996"
"2014,""SWICO"",""Personal Computer"",648000,4123365,54586271,353738743"
"2014,""SWICO"",""Server (Small Scale)"",53000,221149,29529016,141325650"
"2014,""SWICO"",""Settop-Boxen"",528346,2875500,37171423,218969715"
"2014,""SWICO"",""Slate Computer (Tablets)"",1015000,3422628,6173839,29180503"
"2014,""SWICO"",""USV"",95000,377809,28156736,120777107"
"2014,""SWICO"",""Video/DVD/Blu-Ray"",282000,2367324,3775378,42704498"
"2015,""FEA"",""Elektroherde und Einbaubacköfen"",347304,3443877,100982212,1399246631"
"2015,""FEA"",""Geschirrspüler"",229235,2543462,45799373,560657747"
"2015,""FEA"",""Kühlschränke"",327169,4620680,56398172,1127605564"
"2015,""FEA"",""Kaffeemaschinen"",728686,NA,38767656,NA"
"2015,""FEA"",""Tiefkühlschränke"",79435,1948030,13401630,523631328"
"2015,""FEA"",""Wäschetrockner"",127551,1840742,22535517,945829910"
"2015,""FEA"",""Waschmaschinen"",205384,2258001,37019128,725828785"
"2015,""FEA"",""Waschtrockner"",13334,88561,5447549,52143765"
"2015,""SWICO"",""Beamer"",40000,255575,1911879,12229879"
"2015,""SWICO"",""Drucker"",669000,5065134,10283321,95896139"
"2015,""SWICO"",""Fernsehgeräte"",738900,5640491,64338871,598935694"
"2015,""SWICO"",""Laptops"",939000,6798344,20920127,156744822"
"2015,""SWICO"",""Monitore"",452000,3337068,23344083,198934883"
"2015,""SWICO"",""Personal Computer"",517000,4049735,43683879,341498632"
"2015,""SWICO"",""Server (Small Scale)"",52000,214265,31456620,131119236"
"2015,""SWICO"",""Settop-Boxen"",518722,3096400,35235415,230862797"
"2015,""SWICO"",""Slate Computer (Tablets)"",826000,4106104,5031513,32491361"
"2015,""SWICO"",""USV"",93000,380684,26993941,119812313"
"2015,""SWICO"",""Video/DVD/Blu-Ray"",235000,2126902,3191195,35570294"
"2016,""FEA"",""Dunstabzugshauben"",157733,NA,16275471,NA"
"2016,""FEA"",""Elektroherde und Einbaubacköfen"",351034,3492912,101041089,1410081751"
"2016,""FEA"",""Geschirrspüler"",231896,2605586,46158840,565207774"
"2016,""FEA"",""Kühlschränke"",305758,4686620,52922552,1113602745"
"2016,""FEA"",""Kaffeemaschinen"",592307,NA,31904847,NA"
"2016,""FEA"",""Staubsauger"",453521,NA,17113767,NA"
"2016,""FEA"",""Tiefkühlschränke"",71630,1945004,11978140,513244759"
"2016,""FEA"",""Wäschetrockner"",137109,1917722,22892065,919527256"
"2016,""FEA"",""Waschmaschinen"",201059,2305324,36028552,709255228"
"2016,""FEA"",""Waschtrockner"",11734,96165,4800187,54427899"
"2016,""SWICO"",""Beamer"",39000,233816,1981082,11292912"
"2016,""SWICO"",""Drucker"",640000,4908160,9538195,87348023"
"2016,""SWICO"",""Fernsehgeräte"",647050,5589311,65755744,557708428"
"2016,""SWICO"",""Laptops"",910000,6692334,19617097,150569729"
"2016,""SWICO"",""Monitore"",447000,3087729,22465613,194838144"
"2016,""SWICO"",""Personal Computer"",493000,3969681,41126886,331835225"
"2016,""SWICO"",""Server (Small Scale)"",54000,211276,32666490,126684956"
"2016,""SWICO"",""Settop-Boxen"",415039,3139400,26637889,227990616"
"2016,""SWICO"",""Slate Computer (Tablets)"",686000,4507035,4184440,33445510"
"2016,""SWICO"",""USV"",99000,386904,28185639,119488115"
"2016,""SWICO"",""Video/DVD/Blu-Ray"",183000,1854138,2410789,29302581"
"2017,""FEA"",""Dunstabzugshauben"",156621,NA,13141197,NA"
"2017,""FEA"",""Elektroherde und Einbaubacköfen"",353589,3539029,101213049,1419868099"
"2017,""FEA"",""Geschirrspüler"",237507,2665615,46236235,568675660"
"2017,""FEA"",""Kühlschränke"",303135,4748388,50627073,1097425234"
"2017,""FEA"",""Kaffeemaschinen"",598437,NA,29723765,NA"
"2017,""FEA"",""Staubsauger"",432813,NA,15324169,NA"
"2017,""FEA"",""Tiefkühlschränke"",66003,1939139,10954025,502485981"
"2017,""FEA"",""Wäschetrockner"",133919,1987392,21652595,893392809"
"2017,""FEA"",""Waschmaschinen"",199082,2346697,35713263,693083064"
"2017,""FEA"",""Waschtrockner"",13477,103850,5394498,56342928"
"2017,""SWICO"",""Beamer"",33000,203313,1676300,9933753"
"2017,""SWICO"",""Drucker"",607000,4717444,8549178,78180312"
"2017,""SWICO"",""Fernsehgeräte"",496500,5326670,57707064,512869620"
"2017,""SWICO"",""Laptops"",965000,6561155,20767255,145401470"
"2017,""SWICO"",""Monitore"",496620,2927801,23261884,185135175"
"2017,""SWICO"",""Personal Computer"",470000,3820618,35437005,314412823"
"2017,""SWICO"",""Server (Small Scale)"",48000,204090,29364540,122238019"
"2017,""SWICO"",""Settop-Boxen"",436330,3150700,24806388,219206100"
"2017,""SWICO"",""Slate Computer (Tablets)"",753000,4784069,5175072,33735294"
"2017,""SWICO"",""USV"",94000,386817,26282348,117582328"
"2017,""SWICO"",""Video/DVD/Blu-Ray"",138000,1562320,1779740,23196599"
"2018,""FEA"",""Dunstabzugshauben"",156284,NA,11422607,NA"
"2018,""FEA"",""Elektroherde und Einbaubacköfen"",359923,3579540,101553688,1427027668"
"2018,""FEA"",""Geschirrspüler"",238511,2721885,45993711,571332522"
"2018,""FEA"",""Kühlschränke"",305426,4802438,51361114,1081119570"
